Package_Name,Obfuscation_method,Path Obfuscated Code,Path Deobfuscated Code,Obfuscation Tool,Deobfuscation Tool,Obfuscated Code Detected,Deobfuscated Code Detected,Notes
@xvideos_alerts,Control Flow Flattening,/package/obfuscated/build-project(control_flow).js,/package/deobfuscated/build-project(control_flow)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,The obfuscation would not be able to applied 
@xvideos_alerts,Dead Code Injection,/package/obfuscated/build-project(dead_code).js,/package/deobfuscated/build-project(dead_code)deobf.js,manual,deobfuscate.relative.im,Yes,Yes,
@xvideos_alerts,Split Strings,/package/obfuscated/build-project(split_str).js,/package/deobfuscated/build-project(split_str)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,Split Strings Chunk Length set on 2
@xvideos_alerts,Unicode Escape Sequence,/package/obfuscated/build-project(unicode).js,/package/deobfuscated/build-project(unicode)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
@xvideos_alerts,String Array ,/package/obfuscated/build-project(string_array).js,/package/deobfuscated/build-project(string_array)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
@xvideos_alerts,String Array Rotate,/package/obfuscated/build-project(sa_rotate).js,/package/deobfuscated/build-project(sa_rotate)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
@xvideos_alerts,String Array  Index Shift,/package/obfuscated/build-project(sa_index_shift).js,/package/deobfuscated/build-project(sa_index_shift)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
@xvideos_alerts,String Array Calls Transform,/package/obfuscated/build-project(sa_calls_trans).js,/package/deobfuscated/build-project(sa_calls_trans)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
mollie-shopware,Simplify,/package/obfuscated/ndex(simplify).js,/package/deobfuscated/ndex(simplify)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
mollie-shopware,Self Defending,/package/obfuscated/ndex(self_def).js,/package/deobfuscated/ndex(self_def)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,In obfuscator.io forcibly sets compact obfuscation value to true 
mollie-shopware,Debug Protection,/package/obfuscated/ndex(deb_protect).js,/package/deobfuscated/ndex(deb_protect)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
mollie-shopware,Number to Expressions,/package/obfuscated/ndex(num_to_exp).js,/package/deobfuscated/ndex(num_to_exp)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
mollie-shopware,Control Flow Flattening,/package/obfuscated/ndex(control_flow).js,/package/deobfuscated/ndex(control_flow)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,The obfuscation would not be able to applied 
mollie-shopware,Dead Code Injection,/package/obfuscated/ndex(dead_code).js,/package/deobfuscated/ndex(dead_code)deobf.js,manual,deobfuscate.relative.im,Yes,Yes,
mollie-shopware,Split Strings,/package/obfuscated/ndex(split_str).js,/package/deobfuscated/ndex(split_str)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,Split Strings Chunk Length set on 2
mollie-shopware,Unicode Escape Sequence,/package/obfuscated/ndex(unicode).js,/package/deobfuscated/ndex(unicode)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
mollie-shopware,String Array ,/package/obfuscated/ndex(string_array).js,/package/deobfuscated/ndex(string_array)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
mollie-shopware,String Array Rotate,/package/obfuscated/ndex(sa_rotate).js,/package/deobfuscated/ndex(sa_rotate)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
